ID,Location,Collection Date,Sow Date,Pot Date,Raised Beds,Up-Pot Date,New ID,TX
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W01,A
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W02,A
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W03,B
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W04,A
ACEPEN05_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W05,A
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W06,C
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W07,A
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W08,B
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W09,B
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W10,B
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,18-Oct-16,ACEPEN_W11,B
ACEPEN06_WM,GH,16-Sep-15,11-Feb-16,25-Mar-16,NA,20-Oct-16,ACEPEN_W12,C
ACEPEN12_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,ACEPEN_H13,C
ACEPEN12_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,ACEPEN_H14,C
ACEPEN12_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,ACEPEN_H15,C
ALNINC01_HF,RB,UNK,5-Mar-15,10-Apr-15,30-Jun-15,20-Oct-16,ALNINC_H01,A
