ID,weight,dry
BETPAP_G01.1,0.3539,0.11142
BETPAP_G01.2,0.4049,0.12517
BETPAP_G02.1,0.5851,0.16736
BETPAP_G02.2,0.5416,0.15632
BETPAP_G03.1,0.1917,0.04367
BETPAP_G03.2,0.2668,0.06045
BETPAP_G04.1,0.4668,0.108
BETPAP_G04.2,0.3074,0.07602
BETPAP_G05.1,0.5166,0.16326
BETPAP_G05.2,0.3818,0.13082
BETPAP_G06.1,0.4277,0.14002
BETPAP_G06.2,0.4088,0.1412
BETPAP_G07.1,0.5999,0.17648
BETPAP_G07.2,0.4112,0.12446
BETPAP_G08.1,0.5362,0.21446
BETPAP_G08.2,0.5267,0.22429
BETPAP_G09.1,0.8005,0.2709
BETPAP_G09.2,0.7632,0.23421
BETPAP_G10.1,0.6372,0.20419
BETPAP_G10.2,0.5781,0.18985
BETPAP_G11.1,0.2155,0.07546
BETPAP_G11.2,0.1577,0.05548
BETPAP_G12.1,0.3049,0.10855
BETPAP_G12.2,0.4426,0.15207
BETPAP_G13.1,0.4789,0.16332
BETPAP_G13.2,0.6952,0.22059
BETPAP_G14.1,0.2099,0.10539
BETPAP_G14.2,0.2855,0.07699
BETPOP_W01.1,0.3436,0.14426
BETPOP_W01.2,0.3645,0.1593
BETPOP_W02.1,0.6155,0.24534
BETPOP_W02.2,0.5554,0.22817
BETPOP_W03.1,0.4489,0.17053
BETPOP_W03.2,0.4225,0.16028
BETPOP_W04.1,0.5644,0.21086
BETPOP_W04.2,0.5049,0.20354
BETPOP_W05.1,0.5549,0.21315
BETPOP_W05.2,0.4577,0.17936
BETPOP_W06.1,0.5748,0.22734
BETPOP_W06.2,0.3728,0.14737
BETPOP_W07.1,0.3149,0.12835
BETPOP_W07.2,0.3193,0.12353
BETPOP_W08.1,0.4466,0.18134
BETPOP_W08.2,0.4792,0.19638
BETPOP_W09.1,0.7089,0.24251
BETPOP_W09.2,0.6182,0.23385
BETPOP_W10.1,0.2923,0.11251
BETPOP_W10.2,0.2799,0.10161
BETPOP_W11.1,0.5815,0.24169
BETPOP_W11.2,0.5855,0.2285
BETPOP_W12.1,0.5685,0.18086
BETPOP_W12.2,0.2564,0.09373
BETPOP_W13.1,0.3991,0.11474
BETPOP_W13.2,0.3757,0.11012
BETPOP_W14.1,1.0581,0.32795
BETPOP_W14.2,0.8585,0.26611
BETPOP_W15.1,0.2259,0.07812
BETPOP_W15.2,0.2621,0.08292
BETPOP_W16.1,0.3786,0.13071
BETPOP_W16.2,0.3977,0.13326
