"ID","budburst","bbch.first","leafout","bbch.last","species","individ","bud","frz","tx","dvr","frost","ind"
"BETPAP_G01_1",93,"9",101,"14","BETPAP","BETPAP_G01",1,NA,"A",NA,0,"01"
"BETPAP_G01_10",101,"10",101,"10","BETPAP","BETPAP_G01",10,NA,"A",NA,0,"01"
"BETPAP_G01_11",93,"9",101,"14","BETPAP","BETPAP_G01",11,NA,"A",NA,0,"01"
"BETPAP_G01_12",93,"9",101,"15","BETPAP","BETPAP_G01",12,NA,"A",8,0,"01"
"BETPAP_G01_13",101,"14",101,"14","BETPAP","BETPAP_G01",13,NA,"A",NA,0,"01"
"BETPAP_G01_14",101,"9",101,"9","BETPAP","BETPAP_G01",14,NA,"A",NA,0,"01"
"BETPAP_G01_15",101,"9",101,"9","BETPAP","BETPAP_G01",15,NA,"A",NA,0,"01"
"BETPAP_G01_16",93,"12",101,"15","BETPAP","BETPAP_G01",16,NA,"A",8,0,"01"
"BETPAP_G01_17",93,"10",101,"15","BETPAP","BETPAP_G01",17,NA,"A",8,0,"01"
"BETPAP_G01_18",101,"10",101,"10","BETPAP","BETPAP_G01",18,NA,"A",NA,0,"01"
"BETPAP_G01_19",88,"14",93,"15","BETPAP","BETPAP_G01",19,NA,"A",5,0,"01"
"BETPAP_G01_2",101,"14",101,"14","BETPAP","BETPAP_G01",2,NA,"A",NA,0,"01"
"BETPAP_G01_20",88,"11",93,"15","BETPAP","BETPAP_G01",20,NA,"A",5,0,"01"
"BETPAP_G01_21",88,"13",93,"15","BETPAP","BETPAP_G01",21,NA,"A",5,0,"01"
"BETPAP_G01_23",101,"10",101,"10","BETPAP","BETPAP_G01",23,NA,"A",NA,0,"01"
"BETPAP_G01_24",101,"9",101,"9","BETPAP","BETPAP_G01",24,NA,"A",NA,0,"01"
"BETPAP_G01_25",101,"14",101,"14","BETPAP","BETPAP_G01",25,NA,"A",NA,0,"01"
"BETPAP_G01_3",93,"12",101,"15","BETPAP","BETPAP_G01",3,NA,"A",8,0,"01"
"BETPAP_G01_4",88,"10",93,"15","BETPAP","BETPAP_G01",4,NA,"A",5,0,"01"
"BETPAP_G01_5",88,"13",93,"15","BETPAP","BETPAP_G01",5,NA,"A",5,0,"01"
"BETPAP_G01_6",88,"14",93,"15","BETPAP","BETPAP_G01",6,NA,"A",5,0,"01"
"BETPAP_G01_7",83,"10",93,"15","BETPAP","BETPAP_G01",7,NA,"A",10,0,"01"
"BETPAP_G01_8",83,"10",93,"15","BETPAP","BETPAP_G01",8,NA,"A",10,0,"01"
"BETPAP_G01_9",88,"13",93,"15","BETPAP","BETPAP_G01",9,NA,"A",5,0,"01"
