Date,AirT,AirTMax,AirTMin,Prec,Site,site,doy,year,gdd,count,frz,fs,last,si,si_fs,pheno
19/04/1990,3,11,-5,0,Harvard,hf,109,1990,6,312,1,NA,19/04/1990,23/04/1990,NA,NA
14/04/1991,3,10,-4,0,Harvard,hf,104,1991,5,340,1,NA,14/04/1991,04/10/1991,TRUE,NA
05/08/1992,6,14,-3,0,Harvard,hf,129,1992,9,NA,1,NA,05/08/1992,27/04/1992,TRUE,NA
28/04/1993,4,11,-3,1.5,Harvard,hf,118,1993,6,NA,1,NA,28/04/1993,18/04/1993,TRUE,NA
06/03/1994,1,15,-12,0.5,Harvard,hf,154,1994,10,795,1,NA,06/03/1994,19/04/1994,TRUE,NA
05/09/1995,7,17,-3,0,Harvard,hf,129,1995,12,NA,1,NA,05/09/1995,20/04/1995,TRUE,NA
28/04/1996,4,11,-3,0,Harvard,hf,119,1996,6,332,1,NA,28/04/1996,24/04/1996,TRUE,NA
19/04/1997,2,6,-3,25.4,Harvard,hf,109,1997,1,NA,1,NA,19/04/1997,22/04/1997,NA,NA
28/04/1998,3,9,-3,0,Harvard,hf,118,1998,4,NA,1,NA,28/04/1998,13/04/1998,TRUE,NA
28/04/1999,4,12,-3,0,Harvard,hf,118,1999,7,379,1,NA,28/04/1999,17/04/1999,TRUE,NA
15/04/2000,5,14,-3,0,Harvard,hf,106,2000,9,NA,1,NA,15/04/2000,04/07/2000,TRUE,NA
05/07/2001,7,17,-3,0,Harvard,hf,127,2001,12,NA,1,NA,05/07/2001,24/04/2001,TRUE,NA
19/05/2002,3,8,-3,5.1,Harvard,hf,139,2002,3,NA,1,NA,19/05/2002,15/04/2002,TRUE,NA
25/04/2003,7.9,16.9,-2.6,0,Harvard,hf,115,2003,11.9,277.3,1,TRUE,25/04/2003,19/04/2003,TRUE,NA
04/08/2004,4.6,11.5,-2.6,0,Harvard,hf,99,2004,6.5,114,1,NA,04/08/2004,20/04/2004,NA,NA
13/04/2005,4.2,11.6,-3.8,0,Harvard,hf,103,2005,6.6,224.5,1,TRUE,13/04/2005,17/04/2005,NA,NA
26/04/2006,6.4,14.4,-2.7,0,Harvard,hf,116,2006,9.4,428.2,1,NA,26/04/2006,16/04/2006,TRUE,NA
04/11/2007,2.5,9,-4,0,Harvard,hf,101,2007,4,145.5,1,NA,04/11/2007,24/04/2007,NA,NA
05/01/2008,6.5,14.7,-2.7,0,Harvard,hf,122,2008,9.7,377.1,1,NA,05/01/2008,22/04/2008,TRUE,05/04/2008
13/04/2009,2.6,10.5,-4.1,0,Harvard,hf,103,2009,5.5,184,1,NA,13/04/2009,23/04/2009,NA,30/04/2009
28/03/2010,1.6,7.4,-3.4,0,Harvard,hf,87,2010,2.4,143,1,NA,28/03/2010,04/06/2010,NA,21/04/2010
22/04/2011,4.9,11.2,-2.7,0,Harvard,hf,112,2011,6.2,217.3,1,TRUE,22/04/2011,23/04/2011,NA,05/03/2011
04/07/2012,4.5,10.8,-2.2,0,Harvard,hf,98,2012,5.8,323.3,1,NA,04/07/2012,25/03/2012,TRUE,27/04/2012
21/04/2013,3,10,-2.6,0,Harvard,hf,111,2013,5,234.2,1,TRUE,21/04/2013,23/04/2013,NA,05/01/2013
18/04/2014,1.4,6.6,-4.9,0,Harvard,hf,108,2014,1.6,207.7,1,TRUE,18/04/2014,16/04/2014,TRUE,05/09/2014
