id,exp,species,site,rep,space,tx,plot
ACEPEN_W07,whole,ACEPEN,WM,1,3,A,
ACEPEN_W04,whole,ACEPEN,WM,2,3,A,
ACEPEN_W13,whole,ACEPEN,WM,3,3,A,
ACEPEN_W05,whole,ACEPEN,WM,4,3,A,
ACEPEN_W12,whole,ACEPEN,WM,5,3,A,
ACEPEN_W01,whole,ACEPEN,WM,6,3,A,
ACEPEN_W08,whole,ACEPEN,WM,1,3,B,
ACEPEN_W09,whole,ACEPEN,WM,2,3,B,
ACEPEN_W10,whole,ACEPEN,WM,3,3,B,
ACEPEN_W11,whole,ACEPEN,WM,4,3,B,
ACEPEN_W14,whole,ACEPEN,WM,5,3,B,
ACEPEN_W15,whole,ACEPEN,WM,6,3,B,
PRUPEN_S11,whole,PRUPEN,SH,1,1.5,A,
PRUPEN_S02,whole,PRUPEN,SH,2,1.5,A,
PRUPEN_S04,whole,PRUPEN,SH,3,1.5,A,
PRUPEN_S03,whole,PRUPEN,SH,4,1.5,A,
PRUPEN_S01,whole,PRUPEN,SH,5,1.5,A,
PRUPEN_S10,whole,PRUPEN,SH,6,1.5,A,
PRUPEN_S05,whole,PRUPEN,SH,1,1.5,B,
PRUPEN_S07,whole,PRUPEN,SH,2,1.5,B,
PRUPEN_S15,whole,PRUPEN,SH,3,1.5,B,
PRUPEN_S12,whole,PRUPEN,SH,4,1.5,B,
PRUPEN_S09,whole,PRUPEN,SH,5,1.5,B,
PRUPEN_S06,whole,PRUPEN,SH,6,1.5,B,
VIBCAS_W08,whole,VIBCAS,WM,1,1,A,
VIBCAS_W05,whole,VIBCAS,WM,2,1,A,
VIBCAS_W10,whole,VIBCAS,WM,3,1,A,
VIBCAS_W11,whole,VIBCAS,WM,4,1,A,
VIBCAS_W30,whole,VIBCAS,WM,5,1,A,
VIBCAS_W33,whole,VIBCAS,WM,6,1,A,
VIBCAS_W37,whole,VIBCAS,WM,7,1,A,
VIBCAS_G06,whole,VIBCAS,GR,1,1,A,
VIBCAS_G26,whole,VIBCAS,GR,2,1,A,
VIBCAS_G34,whole,VIBCAS,GR,3,1,A,
VIBCAS_G01,whole,VIBCAS,GR,4,1,A,
VIBCAS_G04,whole,VIBCAS,GR,5,1,A,
VIBCAS_G18,whole,VIBCAS,GR,6,1,A,
VIBCAS_G17,whole,VIBCAS,GR,1,1,B,
VIBCAS_G23,whole,VIBCAS,GR,2,1,B,
VIBCAS_G28,whole,VIBCAS,GR,3,1,B,
VIBCAS_G24,whole,VIBCAS,GR,4,1,B,
VIBCAS_G21,whole,VIBCAS,GR,5,1,B,
VIBCAS_G25,whole,VIBCAS,GR,6,1,B,
VIBCAS_W12,whole,VIBCAS,WM,1,1,B,
VIBCAS_W27,whole,VIBCAS,WM,2,1,B,
VIBCAS_W19,whole,VIBCAS,WM,3,1,B,
VIBCAS_W29,whole,VIBCAS,WM,4,1,B,
VIBCAS_W35,whole,VIBCAS,WM,5,1,B,
VIBCAS_W13,whole,VIBCAS,WM,6,1,B,
VIBCAS_W36,whole,VIBCAS,WM,7,1,B,
SAMRAC_G01,buds,SAMRAC,GR,1,1,A,
SAMRAC_G02,buds,SAMRAC,GR,2,1,A,
SAMRAC_G03,buds,SAMRAC,GR,3,1,A,
SAMRAC_G04,buds,SAMRAC,GR,4,1,A,
SAMRAC_G05,buds,SAMRAC,GR,5,1,A,
SAMRAC_G06,buds,SAMRAC,GR,6,1,A,
SAMRAC_G07,buds,SAMRAC,GR,7,1,A,
SAMRAC_G08,buds,SAMRAC,GR,8,1,A,
SAMRAC_G09,buds,SAMRAC,GR,9,1,A,
SAMRAC_G10,buds,SAMRAC,GR,1,1,B,
SAMRAC_G11,buds,SAMRAC,GR,2,1,B,
SAMRAC_G12,buds,SAMRAC,GR,3,1,B,
SAMRAC_G13,buds,SAMRAC,GR,4,1,B,
SAMRAC_G14,buds,SAMRAC,GR,5,1,B,
SAMRAC_G15,buds,SAMRAC,GR,6,1,B,
SAMRAC_G16,buds,SAMRAC,GR,7,1,B,
SAMRAC_G17,buds,SAMRAC,GR,8,1,B,
SAMRAC_G18,buds,SAMRAC,GR,9,1,B,
BETPAP_G01,buds,BETPAP,GR,1,1.5,A,
BETPAP_G02,buds,BETPAP,GR,2,1.5,A,
BETPAP_G03,buds,BETPAP,GR,3,1.5,A,
BETPAP_G04,buds,BETPAP,GR,4,1.5,A,
BETPAP_G05,buds,BETPAP,GR,5,1.5,A,
BETPAP_G06,buds,BETPAP,GR,6,1.5,A,
BETPAP_G07,buds,BETPAP,GR,7,1.5,A,
BETPAP_G08,buds,BETPAP,GR,1,1.5,B,
BETPAP_G09,buds,BETPAP,GR,2,1.5,B,
BETPAP_G10,buds,BETPAP,GR,3,1.5,B,
BETPAP_G11,buds,BETPAP,GR,4,1.5,B,
BETPAP_G12,buds,BETPAP,GR,5,1.5,B,
BETPAP_G13,buds,BETPAP,GR,6,1.5,B,
BETPAP_G14,buds,BETPAP,GR,7,1.5,B,
BETPOP_W01,buds,BETPOP,WM,1,1.5,A,
BETPOP_W02,buds,BETPOP,WM,1,1.5,B,
BETPOP_W03,buds,BETPOP,WM,2,1.5,A,
BETPOP_W04,buds,BETPOP,WM,2,1.5,B,
BETPOP_W05,buds,BETPOP,WM,3,1.5,A,
BETPOP_W06,buds,BETPOP,WM,3,1.5,B,
BETPOP_W07,buds,BETPOP,WM,4,1.5,A,
BETPOP_W08,buds,BETPOP,WM,4,1.5,B,
BETPOP_W09,buds,BETPOP,WM,5,1.5,B,
BETPOP_W10,buds,BETPOP,WM,5,1.5,A,
BETPOP_W11,buds,BETPOP,WM,6,1.5,A,
BETPOP_W12,buds,BETPOP,WM,6,1.5,B,
BETPOP_W13,buds,BETPOP,WM,7,1.5,A,
BETPOP_W14,buds,BETPOP,WM,7,1.5,B,
BETPOP_W15,buds,BETPOP,WM,8,1.5,A,
BETPOP_W16,buds,BETPOP,WM,8,1.5,B,
